data,casosNovos,casosAcumulado,obitosNovos,obitosAcumulado
2020-03-27,0,0.0,0,0
2020-03-28,3843,3843.0,112,112
2020-03-29,361,4204.0,22,134
2020-03-30,319,4500.0,23,157
2020-03-31,1153,5570.0,42,195
2020-04-01,1159,6738.0,42,241
2020-04-02,1066,7767.0,58,295
2020-04-03,1192,8931.0,62,358
2020-04-04,1179,10074.0,77,428
2020-04-05,830,10894.0,55,482
2020-04-06,962,11857.0,72,549
2020-04-07,1815,13688.0,127,674
2020-04-08,2151,15689.0,138,807
2020-04-09,1846,17693.0,129,938
2020-04-10,1846,19229.0,123,1056
2020-04-11,1127,20119.0,64,1106
2020-04-12,1390,22037.0,95,1222
2020-04-13,1400,23097.0,112,1316
2020-04-14,1772,25044.0,216,1533
2020-04-15,3066,27624.0,228,1729
2020-04-16,2057,29977.0,218,1905
2020-04-17,3307,33491.0,215,2136
2020-04-18,2749,35462.0,221,2303
2020-04-19,1950,37776.0,124,2429
2020-04-20,1928,39923.0,126,2565
2020-04-21,2555,42367.0,169,2715
2020-04-22,2836,45612.0,168,2897
2020-04-23,3818,49467.0,409,3312
2020-04-24,3802,52715.0,369,3621
2020-04-25,5643,58208.0,365,4020
2020-04-26,3244,61996.0,198,4234
2020-04-27,4409,65285.0,314,4491
2020-04-28,5634,71638.0,498,5027
2020-04-29,6274,78061.0,436,5466
2020-04-30,7079,84985.0,428,5883
2020-05-01,6224,89596.0,441,6260
2020-05-02,4953,96046.0,395,6703
2020-05-03,4677,99588.0,294,6932
2020-05-04,6510,106953.0,280,7263
2020-05-05,6985,114068.0,601,7885
2020-05-06,10582,122677.0,615,8421
2020-05-07,9967,132705.0,613,9029
2020-05-08,10160,143248.0,748,9798
2020-05-09,10535,153102.0,746,10499
2020-05-10,6914,154487.0,479,10571
2020-05-11,5686,166629.0,394,11462
2020-05-12,9265,174450.0,891,12192
2020-05-13,11367,187628.0,750,13112
2020-05-14,13962,201054.0,846,13930
2020-05-15,14929,215561.0,858,14765
2020-05-16,14705,224250.0,856,15331
2020-05-17,7982,237541.0,529,16017
2020-05-18,13130,249944.0,672,16507
2020-05-19,14968,260435.0,1219,17629
2020-05-20,19941,286766.0,894,18713
2020-05-21,18538,306554.0,1192,19971
2020-05-22,20560,325444.0,1004,20844
2020-05-23,16242,341812.0,976,21851
2020-05-24,16272,358182.0,661,22545
2020-05-25,11840,367199.0,815,23264
2020-05-26,16928,378518.0,1022,24042
2020-05-27,20769,406800.0,1095,25497
2020-05-28,26540,428873.0,1143,26199
2020-05-29,27347,456736.0,1161,27514
2020-05-30,34088,492513.0,951,28484
2020-05-31,14419,507020.0,477,28999
2020-06-01,12269,517512.0,628,29496
2020-06-02,29364,544006.0,1260,30691
2020-06-03,28148,574625.0,1357,32231
2020-06-04,31014,606768.0,1473,33660
2020-06-05,30192,616510.0,1017,33269
2020-06-06,26916,655004.0,918,35272
2020-06-07,18263,644689.0,532,33051
2020-06-08,15825,682665.0,668,36217
2020-06-09,32257,726482.0,1258,37654
2020-06-10,33133,745901.0,1248,38253
2020-06-11,30467,777690.0,1267,40223
2020-06-12,25704,801434.0,963,40558
2020-06-13,22159,819843.0,915,41444
2020-06-14,17222,825827.0,645,40327
2020-06-15,20866,826559.0,631,40004
2020-06-16,35006,908153.0,1278,44669
2020-06-17,31688,940315.0,1275,45941
2020-06-18,22654,963285.0,1241,47262
2020-06-19,54266,1020988.0,1201,48644
2020-06-20,34981,1040133.0,1021,48555
2020-06-21,17323,1030822.0,632,46840
2020-06-22,21390,1073057.0,655,49254
2020-06-23,39153,1129607.0,1374,52241
2020-06-24,42820,1166745.0,1252,53205
2020-06-25,39970,1213525.0,1202,54535
2020-06-26,46988,1249652.0,1017,55266
2020-06-27,38374,1291945.0,1122,56470
2020-06-28,30406,1317689.0,546,56908
2020-06-29,23178,1329749.0,723,57011
2020-06-30,35432,1375144.0,1284,58661
2020-07-01,44578,1422695.0,1062,59810
2020-07-02,48021,1479537.0,1253,61345
2020-07-03,42033,1523833.0,1291,62864
2020-07-04,38201,1556922.0,1094,63713
2020-07-05,26071,1540202.0,1070,63339
2020-07-06,20118,1579832.0,1118,63021
2020-07-07,45352,1652674.0,1271,66424
2020-07-08,44192,1678411.0,1230,66897
2020-07-09,42480,1733300.0,1263,68632
2020-07-10,45090,1786113.0,1261,70099
2020-07-11,38867,1815115.0,1083,70807
2020-07-12,24677,1839674.0,643,71208
2020-07-13,20314,1846188.0,731,71887
2020-07-14,41377,1897294.0,1300,72832
2020-07-15,39493,1917011.0,1257,73917
2020-07-16,46369,1972105.0,1314,75023
2020-07-17,34449,1994390.0,1181,75455
2020-07-18,29230,1999632.0,906,76102
2020-07-19,23482,2010327.0,704,76501
2020-07-20,20244,2004413.0,638,75433
2020-07-21,41942,2091156.0,1362,78891
2020-07-22,67983,2146544.0,1283,77950
2020-07-23,59751,2258386.0,1319,83215
2020-07-24,55368,2296625.0,1171,83815
2020-07-25,50767,2363363.0,1211,85629
2020-07-26,24545,2368189.0,544,84990
2020-07-27,23279,2412355.0,623,86967
2020-07-28,40718,2397528.0,958,84466
2020-07-29,68594,2436280.0,1656,84841
2020-07-30,57705,2539170.0,1145,87842
2020-07-31,51813,2621284.0,1222,90928
2020-08-01,45038,2607451.0,1110,87983
2020-08-02,25776,2609547.0,529,88193
2020-08-03,16580,2655306.0,567,89385
2020-08-04,51242,2776170.0,1156,95323
2020-08-05,56556,2810553.0,1148,95521
2020-08-06,52347,2836985.0,1649,96299
2020-08-07,49256,2900247.0,1105,97639
2020-08-08,49466,2941709.0,963,98638
2020-08-09,22901,2876747.0,665,93203
2020-08-10,21858,2986499.0,778,99801
2020-08-11,51071,3017502.0,1300,98161
2020-08-12,55792,3047480.0,1179,100710
2020-08-13,58648,3145370.0,1321,103540
2020-08-14,49823,3162821.0,1118,103258
2020-08-15,41023,3199606.0,714,101745
2020-08-16,22942,3281513.0,641,106220
2020-08-17,19296,3259588.0,683,103347
2020-08-18,47809,3360543.0,1357,108658
2020-08-19,48624,3400618.0,1227,109736
2020-08-20,45300,3461123.0,1214,111252
2020-08-21,30325,3462793.0,1055,111451
2020-08-22,49656,3504200.0,903,111792
2020-08-23,23404,3514928.0,490,112434
2020-08-24,17154,3525781.0,560,112641
2020-08-25,46915,3596228.0,1276,115045
2020-08-26,46519,3602847.0,1091,112101
2020-08-27,43692,3649486.0,1053,112761
2020-08-28,42937,3692864.0,860,116648
2020-08-29,37763,3726347.0,1019,114919
2020-08-30,15972,3737565.0,371,116426
2020-08-31,43036,3813471.0,555,118805
2020-09-01,44196,3785146.0,1194,113344
2020-09-02,46191,3877329.0,1200,118286
2020-09-03,43522,3921318.0,910,118950
2020-09-04,50488,4050911.0,915,124631
2020-09-05,37193,3816593.0,677,114384
2020-09-06,15501,3920608.0,435,117473
2020-09-07,10377,3998270.0,296,123178
2020-09-08,14146,4037232.0,510,121772
2020-09-09,34814,4100319.0,1094,126354
2020-09-10,40202,4093502.0,999,122613
2020-09-11,42945,4076082.0,909,116490
2020-09-12,32631,4239934.0,826,129246
2020-09-13,14796,4226303.0,418,128980
2020-09-14,15350,4207696.0,382,126245
2020-09-15,36569,4325992.0,1115,131203
2020-09-16,36602,4326678.0,994,131172
2020-09-17,36319,4363785.0,835,132105
2020-09-18,39420,4370955.0,870,130449
2020-09-19,33180,4446014.0,756,134603
2020-09-20,16062,4412487.0,369,131706
2020-09-21,13196,4323304.0,381,128956
2020-09-22,33022,4466033.0,851,135752
2020-09-23,32966,4522194.0,879,135589
2020-09-24,32837,4544183.0,845,136086
2020-09-25,31424,4464081.0,833,132057
2020-09-26,28005,4574450.0,885,134454
2020-09-27,14320,4641084.0,337,139863
2020-09-28,13272,4654155.0,317,139625
2020-09-29,31730,4562011.0,899,134295
2020-09-30,33307,4690880.0,1015,140934
2020-10-01,36310,4778302.0,734,143209
2020-10-02,33066,4742412.0,717,141418
2020-10-03,25995,4805131.0,608,143832
2020-10-04,8434,4834442.0,369,144421
2020-10-05,12037,4782635.0,318,141256
2020-10-06,38093,4812676.0,832,141152
2020-10-07,31750,4885479.0,747,145527
2020-10-08,27576,4858012.0,739,142274
2020-10-09,27167,4921309.0,713,146917
2020-10-10,26346,4902841.0,579,146674
2020-10-11,12240,5006524.0,297,148344
2020-10-12,8495,4870328.0,198,141104
2020-10-13,10061,4941030.0,318,144689
2020-10-14,27576,5063689.0,757,150205
2020-10-15,28449,5060090.0,715,148545
2020-10-16,30706,5092938.0,786,150843
2020-10-17,23784,5061466.0,463,148540
2020-10-18,10972,5175979.0,232,152639
2020-10-19,15482,5169211.0,273,151767
2020-10-20,22813,5147741.0,667,151792
2020-10-21,24699,5142713.0,580,151459
2020-10-22,24632,5091993.0,506,148163
2020-10-23,30294,5192831.0,589,151912
2020-10-24,26911,5213326.0,449,150451
2020-10-25,13565,5311921.0,242,155006
2020-10-26,15701,5343772.0,262,156029
2020-10-27,29203,5265049.0,558,151015
2020-10-28,28473,5385738.0,522,155993
2020-10-29,25493,5325219.0,520,154709
2020-10-30,22211,5434185.0,513,157936
2020-10-31,19023,5344129.0,412,152392
2020-11-01,10271,5402432.0,191,154286
2020-11-02,8317,5451523.0,181,158053
2020-11-03,11904,5486558.0,242,158840
2020-11-04,25285,5521940.0,613,159762
2020-11-05,22316,5443944.0,623,156906
2020-11-06,21300,5543357.0,309,160009
2020-11-07,19736,5421080.0,255,154734
2020-11-08,11788,5471833.0,126,155412
2020-11-09,10552,5602090.0,235,161161
2020-11-10,25027,5626061.0,203,161308
2020-11-11,48327,5614364.0,558,160454
2020-11-12,30916,5514419.0,942,155398
2020-11-13,28949,5608712.0,459,159723
2020-11-14,36644,5660503.0,956,158564
2020-11-15,14158,5739317.0,140,160943
2020-11-16,13245,5801729.0,218,164413
2020-11-17,34309,5745689.0,738,161665
2020-11-18,33592,5755804.0,767,163346
2020-11-19,35333,5824651.0,631,164285
2020-11-20,37571,5822609.0,569,163742
2020-11-21,32570,5925889.0,400,166210
2020-11-22,18098,5935478.0,203,163715
2020-11-23,16147,6014995.0,302,167838
2020-11-24,31252,5970904.0,643,166590
2020-11-25,47622,6097783.0,673,169509
2020-11-26,37435,6119766.0,695,170022
2020-11-27,33784,6144762.0,548,170349
2020-11-28,51855,6144541.0,617,169163
2020-11-29,24537,6180769.0,294,170351
2020-11-30,21125,6276173.0,289,172222
2020-12-01,50381,6303078.0,697,172026
2020-12-02,49429,6338098.0,710,172467
2020-12-03,50059,6317925.0,762,170995
2020-12-04,46220,6405299.0,708,173142
2020-12-05,42993,6483319.0,682,174667
2020-12-06,26040,6450956.0,316,173671
2020-12-07,20362,6523336.0,398,175620
2020-12-08,50663,6552235.0,847,174060
2020-12-09,52663,6633330.0,847,177137
2020-12-10,52824,6670023.0,784,177548
2020-12-11,53966,6683334.0,699,177883
2020-12-12,43390,6828457.0,685,180398
2020-12-13,21586,6799453.0,285,179551
2020-12-14,25170,6849684.0,436,180337
2020-12-15,42207,6819118.0,998,179825
2020-12-16,70121,6976843.0,959,182689
2020-12-17,67659,6921606.0,1153,180476
2020-12-18,52207,7056872.0,828,183642
2020-12-19,49916,7098435.0,749,184187
2020-12-20,25191,7154872.0,428,185338
2020-12-21,24983,7195068.0,547,186374
2020-12-22,54971,7240354.0,990,186883
2020-12-23,46701,7100849.0,964,183785
2020-12-24,59581,7273099.0,921,186226
2020-12-25,22864,7340758.0,483,188802
2020-12-26,17057,7361553.0,308,188626
2020-12-27,18459,7271140.0,365,184782
2020-12-28,20251,7446951.0,432,190694
2020-12-29,56507,7367750.0,1116,184406
2020-12-30,55468,7556638.0,1194,192927
2020-12-31,56099,7497711.0,1093,191444
